Day,Time,Statement,Emotion,Sentiment,Positive,Neutral,Negative,Anger,Bored,Excited,Fear,Happy,Sad,Keywords
Sat,15,"Hi, it's 3:00 p.m. and I'm a little sad for staying at home for so long.",Sad,negative,0.01,0.163,0.827,0.035606837,0.059698088,0.023865491,0.149377667,0.034332407,0.697119511,"""little sad"",""home"""
Sat,21,Hi. It's nine p.m. and I'm feeling all right.,Excited,positive,0.499,0.441,0.061,0.053771155,0.025089097,0.42131589,0.117150291,0.369502488,0.013171079,No Keywords
Sun,9,"Hi, it's a 8:00 a.m.  and I feel annoyed.",Angry,negative,0.003,0.067,0.93,0.409189156,0.161421696,0.014601637,0.137599767,0.031022384,0.246165361,No Keywords
Sun,15,"Hi, it's 3:00 p.m. and I feel like sleeping only. I'm tired.",Bored,neutral,0.047,0.54,0.413,0.016402082,0.819552916,0.01090768,0.044433079,0.015300667,0.093403576,No Keywords
Sun,21,"Hey, it's nine p.m. and I'm still tired. I want to sleep.",Bored,negative,0.031,0.44,0.529,0.02454094,0.852365186,0.003770393,0.037597804,0.005751603,0.075974075,"""nine"""
Mon,9,"Hi. It's 9:00 AM, and I feel angry for having to stay at home.",Angry,negative,0.003,0.105,0.892,0.442602792,0.129753511,0.023036726,0.130068542,0.032773242,0.241765187,"""angry"",""home"""
Mon,15,I it's 3:00 p.m. and I feel a pretty good.,Excited,positive,0.756,0.22,0.025,0.027143825,0.038558129,0.405446797,0.158623644,0.357186721,0.013040883,"""pretty good"""
Mon,21,It is 9:00 p.m. and I am feeling very depressed.,Sad,negative,0.009,0.073,0.919,0.079304086,0.037053474,0.010193715,0.167793766,0.008908057,0.696746902,No Keywords
Tue,9,"Hello. It's 9:00 AM, and I feel very fresh.",Excited,positive,0.604,0.345,0.051,0.058362458,0.136573809,0.425558095,0.109363392,0.249690621,0.020451625,No Keywords
Tue,15,"Hey, it's 3:00 p.m. and I feel very bored.",Bored,negative,0.07,0.263,0.667,0.122801664,0.361279706,0.035662285,0.150785468,0.043836278,0.2856346,No Keywords
Tue,21,"Hi, it's nine p.m. and I am very nervous because of so many assignments.",Fear,negative,0.015,0.207,0.778,0.09483699,0.020539923,0.011915602,0.442162994,0.018468397,0.412076095,"""nine"",""nervous"",""many assignments"""
Wed,9,"Hi, it's 8:00 in the morning, and I feel very energetic and rejuvenated.",Excited,neutral,0.256,0.601,0.143,0.045751838,0.056459677,0.447895802,0.126839203,0.307702309,0.015351171,"""morning"""
Wed,15,"Hey, it's 3:00 p.m. and I feel so lost and tired and clueless.",Bored,negative,0.03,0.138,0.832,0.12346397,0.307313841,0.03185678,0.199808297,0.036861375,0.300695738,No Keywords
Wed,21,It is 9:00 p.m. and I feel a little sleepy and also a little tired.,Bored,negative,0.05,0.432,0.518,0.00953575,0.846333888,0.005582279,0.053731543,0.008149043,0.076667496,"""little"""
